,title,url
0,Sampling variable at a plane in 3D,https://github.com/idaholab/moose/discussions/20664
1,Cannot rebuild petsc and libmesh on cluster during installation,https://github.com/idaholab/moose/discussions/20639
2,Comparison of MOOSE-thermomech and COMSOL,https://github.com/idaholab/moose/discussions/20651
3,Helgrind errors with perf graph,https://github.com/idaholab/moose/discussions/19443
4,spatial gradient of material,https://github.com/idaholab/moose/discussions/20628
5,Apply shear traction,https://github.com/idaholab/moose/discussions/20647
6,The form of the basis function,https://github.com/idaholab/moose/discussions/20624
7,Structure and array implemention in MOOSE,https://github.com/idaholab/moose/discussions/20635
8,Difference between make -j4 and make -j8,https://github.com/idaholab/moose/discussions/20634
9,"Conda Packages and MOOSE Submodules Updated (MPICH, PETSc, libMesh)",https://github.com/idaholab/moose/discussions/20630
10,To have a higher order element for displacement in coupled problems.,https://github.com/idaholab/moose/discussions/26999
11,Applying Body force in peridynamics module,https://github.com/idaholab/moose/discussions/26990
12,Mooserevision.h issue on hpc,https://github.com/idaholab/moose/discussions/26997
13,Make error moose installation,https://github.com/idaholab/moose/discussions/26995
14,"When I use polynomial chaos for sensitivity analysis, what happens when the Sobol index is calculated to be all 0?",https://github.com/idaholab/moose/discussions/26939
15,What options do I have for creating a 1-D (line) nodal boundary on a 3D mesh?,https://github.com/idaholab/moose/discussions/26992
16,Number of external phase field routine calls during material calculations in MOOSE,https://github.com/idaholab/moose/discussions/26994
17,Applying Body force in peridynamics module,https://github.com/idaholab/moose/discussions/26984
18,How do I debug a failed petsc installation?,https://github.com/idaholab/moose/discussions/26983
19,Compiling from git source fails,https://github.com/idaholab/moose/discussions/26975
20,Local thermal nonequilibrium heat transfer in porous media,https://github.com/idaholab/moose/discussions/28080
21,Error initializing Euler angles for grains,https://github.com/idaholab/moose/discussions/28072
22,Restricting volumetric kernel to elements on boundary,https://github.com/idaholab/moose/discussions/28051
23,Error for  Porous Flow Tutorial Page 01. A single fluid,https://github.com/idaholab/moose/discussions/28082
24,Visualizing Named Sets in Paraview,https://github.com/idaholab/moose/discussions/28079
25,Error in thermal contact based mortar,https://github.com/idaholab/moose/discussions/28038
26,Using the fluidproperties module to calculate fluid flow results appears abnormal,https://github.com/idaholab/moose/discussions/27459
27,Initialisation using VTK format files,https://github.com/idaholab/moose/discussions/28054
28,"Implementation of RankFourTensor member function ""contractionIj""",https://github.com/idaholab/moose/discussions/28052
29,Cannot find -llustreapi(Lustre API) when updating libmesh during hpc install,https://github.com/idaholab/moose/discussions/28069
30,Issue with petsc finding MPI,https://github.com/idaholab/moose/discussions/26801
31,C++ help,https://github.com/idaholab/moose/discussions/27431
32,"Setup issue: Test timeout, LibMesh version blank.",https://github.com/idaholab/moose/discussions/26345
33,Unit conversion of mesh between the Reactor module and the THM module,https://github.com/idaholab/moose/discussions/27430
34,Restart from Last step,https://github.com/idaholab/moose/discussions/27405
35,TensorMechanics error regarding transient vs. Steady solve,https://github.com/idaholab/moose/discussions/27427
36,Function for Initial_condition,https://github.com/idaholab/moose/discussions/27417
37,One test failed,https://github.com/idaholab/moose/discussions/27423
38,Help with installing MOOSE on HPC,https://github.com/idaholab/moose/discussions/27379
39,Superconductivity in MOOSE,https://github.com/idaholab/moose/discussions/27413
40,volumetric locking correction for TET10,https://github.com/idaholab/moose/discussions/25496
41,New HPC MOOSE installation - Error detected in HDF5,https://github.com/idaholab/moose/discussions/25506
42,Print out the history of iteration number of nonlinear solver,https://github.com/idaholab/moose/discussions/25505
43,How to set up a updated boundary condition?,https://github.com/idaholab/moose/discussions/25442
44,ComputeFiniteStrainElasticStress and incremental strain,https://github.com/idaholab/moose/discussions/25429
45,Failed Tests in outputs/ and meshgenerators/ and some warnings during compilation,https://github.com/idaholab/moose/discussions/25488
46,P_hf in HeatTransferFromHeatStructure1Phase,https://github.com/idaholab/moose/discussions/25492
47,"Nucleation works, but no change in phase field",https://github.com/idaholab/moose/discussions/25423
48,About Mesh,https://github.com/idaholab/moose/discussions/25491
49,restart with TensorMechanics (reloading stress state without interpolating),https://github.com/idaholab/moose/discussions/25460
50,Memory requirement issues for grain growth simulations,https://github.com/idaholab/moose/discussions/19437
51,True stress/true strain or engineering stress/engineering strain,https://github.com/idaholab/moose/discussions/19434
52,Heterogenous nucleation,https://github.com/idaholab/moose/discussions/19410
53,"Apply the constitutive model considering the effect of grain size, dislocation interaction, second phase particles and temperature to polycrystal and solve it with VPSC in Moose",https://github.com/idaholab/moose/discussions/19418
54,FSI model setup with inlet pressure,https://github.com/idaholab/moose/discussions/19011
55,Outputs,https://github.com/idaholab/moose/discussions/19303
56,Uniaxial stretching simulation with coarse mesh or fine mesh based on J2 plasticity,https://github.com/idaholab/moose/discussions/19390
57,Solve the convergence problem,https://github.com/idaholab/moose/discussions/19407
58,Linking external C library/program into MOOSE App,https://github.com/idaholab/moose/discussions/19413
59,Muliapps with Picard iteration,https://github.com/idaholab/moose/discussions/19408
60,Proper weak form,https://github.com/idaholab/moose/discussions/21937
61,NumSideQPs and NumElemQPs,https://github.com/idaholab/moose/discussions/21987
62,Relevant executioner params for inelastic materials problems,https://github.com/idaholab/moose/discussions/21973
63,Jacobian Debugger analyze_jacobian.py error,https://github.com/idaholab/moose/discussions/21986
64,Strange Translation/Jittering Artifact in Phase Field Model,https://github.com/idaholab/moose/discussions/21972
65,the diffrrence of elemental solution and nadal solution,https://github.com/idaholab/moose/discussions/21985
66,Thermal hydraulics module problem,https://github.com/idaholab/moose/discussions/21641
67,could not import matplotlib,https://github.com/idaholab/moose/discussions/20459
68,Confusing results with counter flow heat exchanger (Thermal Hydraulics),https://github.com/idaholab/moose/discussions/21911
69,Import external dataset as CSV file,https://github.com/idaholab/moose/discussions/21941
70,How to get the direction-dependent material properties?,https://github.com/idaholab/moose/discussions/20312
71,Compile issue,https://github.com/idaholab/moose/discussions/20366
72,Modeling the viscoelastic-wave equation in frequency domain,https://github.com/idaholab/moose/discussions/20266
73,Performance of iterative solvers with mesh refinement / hanging nodes,https://github.com/idaholab/moose/discussions/20344
74,INS - Can a mesh be too fine?,https://github.com/idaholab/moose/discussions/20350
75,"""mamba install moose-tools moose-libmesh"" error, cannot install",https://github.com/idaholab/moose/discussions/20351
76,Extracting single component from array variable.,https://github.com/idaholab/moose/discussions/20220
77,Incorporating density-dependent porous flow for freshwater-seawater system,https://github.com/idaholab/moose/discussions/20334
78,Issues running MOOSE on HPC,https://github.com/idaholab/moose/discussions/20316
79,syncing auxvariable and material computation,https://github.com/idaholab/moose/discussions/20250
80,how to build a pure convection question,https://github.com/idaholab/moose/discussions/22732
81,Mesh adaptivity during one linear step,https://github.com/idaholab/moose/discussions/22734
82,"When the ACInterface module changes Kappa, why does it not converge？",https://github.com/idaholab/moose/discussions/22664
83,"Without ""Node Sets""",https://github.com/idaholab/moose/discussions/22744
84,MOOSE on WSL2/Ubuntu-20.04,https://github.com/idaholab/moose/discussions/22764
85,How to create a rigid body?,https://github.com/idaholab/moose/discussions/22750
86,How to define an variable coupled AD ElasticityTensor correctly?,https://github.com/idaholab/moose/discussions/22587
87,converting two phase field problem with aux variable,https://github.com/idaholab/moose/discussions/22745
88,Diffusion Only Displaying in 1st Node,https://github.com/idaholab/moose/discussions/22601
89,Contact thermal conductance convergence issue,https://github.com/idaholab/moose/discussions/22700
90,<Use a descriptive title here>,https://github.com/idaholab/moose/discussions/28569
91,Question on outputing directions of max and min principal stress,https://github.com/idaholab/moose/discussions/28579
92,CP maximum allowable slip rate,https://github.com/idaholab/moose/discussions/28534
93,Should Moose check block-restriction in FEProblemBase::duplicateVariableCheck,https://github.com/idaholab/moose/discussions/28560
94,Error while run tests after updates,https://github.com/idaholab/moose/discussions/28340
95,"MOOSE install: successful build, but got failed tests",https://github.com/idaholab/moose/discussions/28461
96,Assigning different material properties to gauss point,https://github.com/idaholab/moose/discussions/28562
97,Location of gauss points in global coordinate,https://github.com/idaholab/moose/discussions/28564
98,How to set target value in eigensolver?,https://github.com/idaholab/moose/discussions/28555
99,New Material Definition,https://github.com/idaholab/moose/discussions/28533
100,Installing libmesh fails due to missing tirpc,https://github.com/idaholab/moose/discussions/28924
101,Fullupwind about conservative like-advection,https://github.com/idaholab/moose/discussions/28995
102,What is the default operation precision in MOOSE?,https://github.com/idaholab/moose/discussions/21799
103,Small time steps,https://github.com/idaholab/moose/discussions/28797
104,How to embed a beam element in 3d solid elements?,https://github.com/idaholab/moose/discussions/28680
105,"A question about stiffness matrix, assembly and assembly order in MOOSE",https://github.com/idaholab/moose/discussions/28626
106,Problems reading material property in InterfaceKernel,https://github.com/idaholab/moose/discussions/28908
107,make error: fatal error: libmesh/mesh_netgen_interface.h: No such file or directory,https://github.com/idaholab/moose/discussions/28987
108,Unable to find function,https://github.com/idaholab/moose/discussions/28991
109,Access the coordinates of an element and neighbor inside an interface kernel,https://github.com/idaholab/moose/discussions/21510
110,restart simultations with adaptive mesh,https://github.com/idaholab/moose/discussions/24890
111,Gradual relaxation of dirichlet BCs,https://github.com/idaholab/moose/discussions/22891
112,"A problem with 'ADSoretCoeffTest' in ""Misc"" Modules",https://github.com/idaholab/moose/discussions/16605
113,Not a registered object error,https://github.com/idaholab/moose/discussions/16921
114,Restart with deformed and pre-stressed body,https://github.com/idaholab/moose/discussions/24760
115,How to obtain material properties from three time steps ago?,https://github.com/idaholab/moose/discussions/24884
116,Question about ADPenaltyConstraint,https://github.com/idaholab/moose/discussions/24860
117,CSV file,https://github.com/idaholab/moose/discussions/24836
118,Any solutions for better convergence in sharp feature?,https://github.com/idaholab/moose/discussions/24835
119,Interpolating temperature field from input data,https://github.com/idaholab/moose/discussions/24869
120,Some questions in ComputeSmallStrain.C,https://github.com/idaholab/moose/discussions/26418
121,Read a list of block IDs from an external file,https://github.com/idaholab/moose/discussions/26409
122,Reference value for mineral concentration (M_ref) in PorousFlowPorosity,https://github.com/idaholab/moose/discussions/26408
123,Issue with MOOSE Nonlinear System Assembly,https://github.com/idaholab/moose/discussions/26398
124,Setting Material Parameters and Crystal Plasticity Models with EBSD in CPFEM,https://github.com/idaholab/moose/discussions/26358
125,float problem,https://github.com/idaholab/moose/discussions/26396
126,Assigning tensorial material property through csv,https://github.com/idaholab/moose/discussions/26373
127,Output Cohesive Zone Model Properties,https://github.com/idaholab/moose/discussions/26392
128,Unexpected download/extract termination when creating moose-dev on Expanse Cluster,https://github.com/idaholab/moose/discussions/26162
129,How to change the peridynamic weight function?,https://github.com/idaholab/moose/discussions/26386
130,2p2c miscible fluids - How to remove everything which comes with the water?,https://github.com/idaholab/moose/discussions/25734
131,2-phase or 3-phase flow?,https://github.com/idaholab/moose/discussions/25900
132,GTN model implementation within ADViscoplasticityStressUpdate.C,https://github.com/idaholab/moose/discussions/25923
133,Effect of automatic_scaling in thermal hydraulics,https://github.com/idaholab/moose/discussions/25921
134,Error when requesting u_dot_old,https://github.com/idaholab/moose/discussions/25920
135,NeumannBC on a single node,https://github.com/idaholab/moose/discussions/25895
136,HPC Linux Configuration,https://github.com/idaholab/moose/discussions/25912
137,Background Files for Bending and Tensile Tests,https://github.com/idaholab/moose/discussions/25916
138,Boundary Generation,https://github.com/idaholab/moose/discussions/25903
139,Error of recompiling my application: 'not a registered file',https://github.com/idaholab/moose/discussions/25793
140,How to get X and Y coordinates of every node outputted to .csv file,https://github.com/idaholab/moose/discussions/27419
141,"I try to run an input file from an example it shows the error in the picture, I want to ask what is the add_material means from the error.",https://github.com/idaholab/moose/discussions/27406
142,how to use natural logarithm operator ('ln') in an expression of function?,https://github.com/idaholab/moose/discussions/27416
143,Boundary condition type,https://github.com/idaholab/moose/discussions/27410
144,Building new Moose Action,https://github.com/idaholab/moose/discussions/27411
145,DIVERGED_PC_FAILED,https://github.com/idaholab/moose/discussions/27412
146,Mesh error,https://github.com/idaholab/moose/discussions/27395
147,Adding heat source and temperature dependent material properties with navier stokes,https://github.com/idaholab/moose/discussions/27397
148,QuasiStaticSolidMechanicsPhysics error,https://github.com/idaholab/moose/discussions/27409
149,Transient solve; steady-state detection on postprocessor output,https://github.com/idaholab/moose/discussions/27404
150,Griffin Level 4 Cross Section Test Failures,https://github.com/idaholab/moose/discussions/27700
151,crank-nicolson fails to converge at the initial step,https://github.com/idaholab/moose/discussions/27547
152,Jacobian calculation with respect to two variables,https://github.com/idaholab/moose/discussions/27557
